;Datetime;Tweet Id;Text;Source;Likes;RT;cleanText;tokens;final_tokens;step02
83;2022-10-04 03:20:27;1.5771365380725473e+18;RT @PDitangguhkan_: Trending hari ini sdh ttg Capres, Surya Paloh, Metro TV, PDIP, Nasdem, Giring dll. Msh ada Baim Paula. Tp bbrp TT ttg #…;Twitter for Android;0.0;188.0;pditangguhkan_ trending hari ini sdh ttg capres surya paloh metro tv pdip nasdem giring dll msh ada baim paula tp bbrp tt ttg;['pditangguhkan_', 'trending', 'hari', 'ini', 'sdh', 'ttg', 'capres', 'surya', 'paloh', 'metro', 'tv', 'pdip', 'nasdem', 'giring', 'dll', 'msh', 'ada', 'baim', 'paula', 'tp', 'bbrp', 'tt', 'ttg'];['pditangguhkan_', 'trending', 'hari', 'ini', 'sdh', 'ttg', 'capres', 'surya', 'paloh', 'metro', 'tv', 'pdip', 'nasdem', 'giring', 'dll', 'msh', 'ada', 'baim', 'paula', 'tp', 'bbrp', 'tt', 'ttg'];pditangguhkan_ trending hari ini sdh ttg capres surya paloh metro tv pdip nasdem giring dll msh ada baim paula tp bbrp tt ttg
84;2022-10-04 03:20:22;1.5771365171261972e+18;"RT @psisfcofficial: ""Kami Arema, Salam Satu Jiwa"" 🌟

Cuplikan video kami dari Semarang malam lalu untuk mengirim doa dan semangat bagi dulu…";Twitter for Android;0.0;1290.0;psisfcofficial kami arema salam satu jiwa cuplikan video kami dari semarang malam lalu untuk mengirim doa dan semangat bagi dulu;['psisfcofficial', 'kami', 'arema', 'salam', 'satu', 'jiwa', 'cuplikan', 'video', 'kami', 'dari', 'semarang', 'malam', 'lalu', 'untuk', 'mengirim', 'doa', 'dan', 'semangat', 'bagi', 'dulu'];['psisfcofficial', 'kami', 'arema', 'salam', 'satu', 'jiwa', 'cuplikan', 'video', 'kami', 'dari', 'semarang', 'malam', 'lalu', 'untuk', 'mengirim', 'doa', 'dan', 'semangat', 'bagi', 'dulu'];psisfcofficial kami arema salam satu jiwa cuplikan video kami dari semarang malam lalu untuk mengirim doa dan semangat bagi dulu
85;2022-10-04 03:20:18;1.5771365008564838e+18;RT @detikcom: Puluhan anak dilaporkan tewas dalam tragedi maut di Stadion Kanjuruhan. Korban tewas paling muda berusia tiga atau empat tahu…;Twitter for Android;0.0;177.0;detikcom puluhan anak dilaporkan tewas dalam tragedi maut di stadion kanjuruhan korban tewas paling muda berusia tiga atau empat tahu;['detikcom', 'puluhan', 'anak', 'dilaporkan', 'tewas', 'dalam', 'tragedi', 'maut', 'di', 'stadion', 'kanjuruhan', 'korban', 'tewas', 'paling', 'muda', 'berusia', 'tiga', 'atau', 'empat', 'tahu'];['detikcom', 'puluhan', 'anak', 'dilaporkan', 'tewas', 'dalam', 'tragedi', 'maut', 'di', 'stadion', 'kanjuruhan', 'korban', 'tewas', 'paling', 'muda', 'berusia', 'tiga', 'atau', 'empat', 'tahu'];detikcom puluhan anak dilaporkan tewas dalam tragedi maut di stadion kanjuruhan korban tewas paling muda berusia tiga atau empat tahu
86;2022-10-04 03:20:13;1.577136479683289e+18;"RT @ResNgawi: Mari bersama meluangkan waktu untuk saudara kita. 🤲
#PrayForKanjuruhan https://t.co/lXKJ670dAT";Twitter for Android;0.0;37.0;resngawi mari bersama meluangkan waktu untuk saudara kita co;['resngawi', 'mari', 'bersama', 'meluangkan', 'waktu', 'untuk', 'saudara', 'kita', 'co'];['resngawi', 'mari', 'bersama', 'meluangkan', 'waktu', 'untuk', 'saudara', 'kita', 'co'];resngawi mari bersama meluangkan waktu untuk saudara kita co
87;2022-10-04 03:20:08;1.577136460725072e+18;"RT @psisfcofficial: ""Kami Arema, Salam Satu Jiwa"" 🌟

Cuplikan video kami dari Semarang malam lalu untuk mengirim doa dan semangat bagi dulu…";Twitter for Android;0.0;1290.0;psisfcofficial kami arema salam satu jiwa cuplikan video kami dari semarang malam lalu untuk mengirim doa dan semangat bagi dulu;['psisfcofficial', 'kami', 'arema', 'salam', 'satu', 'jiwa', 'cuplikan', 'video', 'kami', 'dari', 'semarang', 'malam', 'lalu', 'untuk', 'mengirim', 'doa', 'dan', 'semangat', 'bagi', 'dulu'];['psisfcofficial', 'kami', 'arema', 'salam', 'satu', 'jiwa', 'cuplikan', 'video', 'kami', 'dari', 'semarang', 'malam', 'lalu', 'untuk', 'mengirim', 'doa', 'dan', 'semangat', 'bagi', 'dulu'];psisfcofficial kami arema salam satu jiwa cuplikan video kami dari semarang malam lalu untuk mengirim doa dan semangat bagi dulu
88;2022-10-04 03:20:05;1.57713644575556e+18;"RT @GOAL_ID: 😢🥀

#KanjuruhanDisaster #PrayforKanjuruhan https://t.co/Iea4GFsiFi";Twitter for iPhone;0.0;2375.0;goal_id coieagfsifi;['goal_id', 'coieagfsifi'];['goal_id', 'coieagfsifi'];goal_id coieagfsifi
89;2022-10-04 03:20:04;1.5771364450638438e+18;"RT @GOAL_ID: 😢🥀

#KanjuruhanDisaster #PrayforKanjuruhan https://t.co/Iea4GFsiFi";Twitter for Android;0.0;2375.0;goal_id coieagfsifi;['goal_id', 'coieagfsifi'];['goal_id', 'coieagfsifi'];goal_id coieagfsifi
90;2022-10-04 03:20:03;1.577136438562685e+18;"@republikaonline Inilah kebidapan polisi
#PrayForKanjuruhan";Twitter for Android;0.0;0.0;republikaonline inilah kebidapan polisi;['republikaonline', 'inilah', 'kebidapan', 'polisi'];['republikaonline', 'inilah', 'kebidapan', 'polisi'];republikaonline inilah kebidapan polisi
91;2022-10-04 03:19:59;1.5771364212901888e+18;"RT @BTS_AHC_IDN: Mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak.

#PrayForKanjuruhan #DukaUntukKanjuruhan 

Hai ARMY…";Twitter for iPhone;0.0;3434.0;bts_ahc_idn mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak hai army;['bts_ahc_idn', 'mari', 'sejenak', 'kita', 'panjatkan', 'doa', 'untuk', 'korban', 'dan', 'pihak', 'yang', 'terdampak', 'hai', 'army'];['bts_ahc_idn', 'mari', 'sejenak', 'kita', 'panjatkan', 'doa', 'untuk', 'korban', 'dan', 'pihak', 'yang', 'terdampak', 'hai', 'army'];bts_ahc_idn mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak hai army
92;2022-10-04 03:19:58;1.577136419822502e+18;"RT @ResNgawi: Mari bersama meluangkan waktu untuk saudara kita. 🤲
#PrayForKanjuruhan https://t.co/lXKJ670dAT";Twitter for Android;0.0;37.0;resngawi mari bersama meluangkan waktu untuk saudara kita co;['resngawi', 'mari', 'bersama', 'meluangkan', 'waktu', 'untuk', 'saudara', 'kita', 'co'];['resngawi', 'mari', 'bersama', 'meluangkan', 'waktu', 'untuk', 'saudara', 'kita', 'co'];resngawi mari bersama meluangkan waktu untuk saudara kita co
93;2022-10-04 03:19:54;1.5771364003815834e+18;"RT @Amar_0599: Sekolah hukum 4 tahun aja kadang belum tentu paham hukum, kok bisa pendidikan berapa bulan aja dah jadi penegak hukum. 
Akib…";Twitter for Android;0.0;826.0;amar_ sekolah hukum   tahun aja kadang belum tentu paham hukum kok bisa pendidikan berapa bulan aja dah jadi penegak hukum akib;['amar_', 'sekolah', 'hukum', 'tahun', 'aja', 'kadang', 'belum', 'tentu', 'paham', 'hukum', 'kok', 'bisa', 'pendidikan', 'berapa', 'bulan', 'aja', 'dah', 'jadi', 'penegak', 'hukum', 'akib'];['amar_', 'sekolah', 'hukum', 'tahun', 'aja', 'kadang', 'belum', 'tentu', 'paham', 'hukum', 'kok', 'bisa', 'pendidikan', 'berapa', 'bulan', 'aja', 'dah', 'jadi', 'penegak', 'hukum', 'akib'];amar_ sekolah hukum tahun aja kadang belum tentu paham hukum kok bisa pendidikan berapa bulan aja dah jadi penegak hukum akib
94;2022-10-04 03:19:52;1.5771363922659492e+18;"#programbunuhpribumiradikal
#UsutTuntas 230 tewas.
Gas Air Mata Cakrabirawa #G01OPKI Pembantaian Aremania… https://t.co/m0sr2YdOWc";Twitter for Android;0.0;0.0;  tewas gas air mata cakrabirawa pembantaian aremania comsrydowc;['tewas', 'gas', 'air', 'mata', 'cakrabirawa', 'pembantaian', 'aremania', 'comsrydowc'];['tewas', 'gas', 'air', 'mata', 'cakrabirawa', 'pembantaian', 'aremania', 'comsrydowc'];tewas gas air mata cakrabirawa pembantaian aremania comsrydowc
95;2022-10-04 03:19:50;1.5771363826187182e+18;RT @christiyantosw: Coba perhatikan pukulan tongkat yg pertama membuat bocil ini jatuh tak bergerak. Pukulan kedua full power  seharusnya b…;Twitter for Android;0.0;219.0;christiyantosw coba perhatikan pukulan tongkat yg pertama membuat bocil ini jatuh tak bergerak pukulan kedua full power seharusnya;['christiyantosw', 'coba', 'perhatikan', 'pukulan', 'tongkat', 'yg', 'pertama', 'membuat', 'bocil', 'ini', 'jatuh', 'tak', 'bergerak', 'pukulan', 'kedua', 'full', 'power', 'seharusnya'];['christiyantosw', 'coba', 'perhatikan', 'pukulan', 'tongkat', 'yg', 'pertama', 'membuat', 'bocil', 'ini', 'jatuh', 'tak', 'bergerak', 'pukulan', 'kedua', 'full', 'power', 'seharusnya'];christiyantosw coba perhatikan pukulan tongkat yg pertama membuat bocil ini jatuh tak bergerak pukulan kedua full power seharusnya
96;2022-10-04 03:19:47;1.5771363725607772e+18;"RT @sulaimaneffendi: Dari Surabaya untuk Malang
Apa yang dirasakan Aremania juga dirasakan Bonek !

Semoga menjadi awal kebaikan buat semua…";Twitter for Android;0.0;244.0;sulaimaneffendi dari surabaya untuk malang apa yang dirasakan aremania juga dirasakan bonek semoga menjadi awal kebaikan buat semua;['sulaimaneffendi', 'dari', 'surabaya', 'untuk', 'malang', 'apa', 'yang', 'dirasakan', 'aremania', 'juga', 'dirasakan', 'bonek', 'semoga', 'menjadi', 'awal', 'kebaikan', 'buat', 'semua'];['sulaimaneffendi', 'dari', 'surabaya', 'untuk', 'malang', 'apa', 'yang', 'dirasakan', 'aremania', 'juga', 'dirasakan', 'bonek', 'semoga', 'menjadi', 'awal', 'kebaikan', 'buat', 'semua'];sulaimaneffendi dari surabaya untuk malang apa yang dirasakan aremania juga dirasakan bonek semoga menjadi awal kebaikan buat semua
97;2022-10-04 03:19:46;1.5771363665716388e+18;RT @CoachJustinL: Ga ada gunanya cari kesalahan ini itu, lebih baik cr solusi agar tidak akan terulang lagi, never and never again. Don't l…;Twitter for Android;0.0;170.0;coachjustinl ga ada gunanya cari kesalahan ini itu lebih baik cr solusi agar tidak akan terulang lagi never and never again don;['coachjustinl', 'ga', 'ada', 'gunanya', 'cari', 'kesalahan', 'ini', 'itu', 'lebih', 'baik', 'cr', 'solusi', 'agar', 'tidak', 'akan', 'terulang', 'lagi', 'never', 'and', 'never', 'again', 'don'];['coachjustinl', 'ga', 'ada', 'gunanya', 'cari', 'kesalahan', 'ini', 'itu', 'lebih', 'baik', 'cr', 'solusi', 'agar', 'tidak', 'akan', 'terulang', 'lagi', 'never', 'and', 'never', 'again', 'don'];coachjustinl ga ada gunanya cari kesalahan ini itu lebih baik cr solusi agar tidak akan terulang lagi never and never again don
98;2022-10-04 03:19:45;1.5771363620288676e+18;"RT @MprAldo: KETUM PSSI IWAN BULE : ""HADIRIN YANG BERBAHAGIA""
IWAN BULE KETUM PSSI, BJORKA BILANG DEKAT BOSS JUDI SAMPAI KASUS IMAM BESAR !…";Twitter for Android;0.0;34.0;mpraldo ketum pssi iwan bule hadirin yang berbahagia iwan bule ketum pssi bjorka bilang dekat boss judi sampai kasus imam besar;['mpraldo', 'ketum', 'pssi', 'iwan', 'bule', 'hadirin', 'yang', 'berbahagia', 'iwan', 'bule', 'ketum', 'pssi', 'bjorka', 'bilang', 'dekat', 'boss', 'judi', 'sampai', 'kasus', 'imam', 'besar'];['mpraldo', 'ketum', 'pssi', 'iwan', 'bule', 'hadirin', 'yang', 'berbahagia', 'iwan', 'bule', 'ketum', 'pssi', 'bjorka', 'bilang', 'dekat', 'boss', 'judi', 'sampai', 'kasus', 'imam', 'besar'];mpraldo ketum pssi iwan bule hadirin yang berbahagia iwan bule ketum pssi bjorka bilang dekat boss judi sampai kasus imam besar
99;2022-10-04 03:19:44;1.577136361278034e+18;RT @thelatnersinep: Alangkah baiknya perdamaian dilanjutkan lewat jalur offline...agar pengawalan kasus tragedi kanjuruhan tidak tertimpa e…;Twitter for Android;0.0;9.0;thelatnersinep alangkah baiknya perdamaian dilanjutkan lewat jalur offline agar pengawalan kasus tragedi kanjuruhan tidak tertimpa;['thelatnersinep', 'alangkah', 'baiknya', 'perdamaian', 'dilanjutkan', 'lewat', 'jalur', 'offline', 'agar', 'pengawalan', 'kasus', 'tragedi', 'kanjuruhan', 'tidak', 'tertimpa'];['thelatnersinep', 'alangkah', 'baiknya', 'perdamaian', 'dilanjutkan', 'lewat', 'jalur', 'offline', 'agar', 'pengawalan', 'kasus', 'tragedi', 'kanjuruhan', 'tidak', 'tertimpa'];thelatnersinep alangkah baiknya perdamaian dilanjutkan lewat jalur offline agar pengawalan kasus tragedi kanjuruhan tidak tertimpa
